Cidade,Sim,Não,Total,Doenças
BETIM,17,765,782,acid_vas_cerebral
BIAS FORTES,-,21,21,acid_vas_cerebral
BICAS,1,60,61,acid_vas_cerebral
BOA ESPERANCA,6,389,395,acid_vas_cerebral
BOCAIUVA,2,70,72,acid_vas_cerebral
BOM DESPACHO,3,175,178,acid_vas_cerebral
BOM JESUS DA PENHA,-,19,19,acid_vas_cerebral
BOM JESUS DO AMPARO,-,3,3,acid_vas_cerebral
BOM JESUS DO GALHO,-,5,5,acid_vas_cerebral
BOM REPOUSO,-,13,13,acid_vas_cerebral
BOM SUCESSO,-,88,88,acid_vas_cerebral
BONFIM,1,26,27,acid_vas_cerebral
BONFINOPOLIS DE MINAS,-,7,7,acid_vas_cerebral
BONITO DE MINAS,-,3,3,acid_vas_cerebral
BORDA DA MATA,1,125,126,acid_vas_cerebral
BOTELHOS,-,6,6,acid_vas_cerebral
BRASILANDIA DE MINAS,-,18,18,acid_vas_cerebral
BRASILIA DE MINAS,2,16,18,acid_vas_cerebral
BRAS PIRES,-,1,1,acid_vas_cerebral
BRAUNAS,-,3,3,acid_vas_cerebral
BRAZOPOLIS,4,95,99,acid_vas_cerebral
BRUMADINHO,1,111,112,acid_vas_cerebral
BUENO BRANDAO,-,43,43,acid_vas_cerebral
BUENOPOLIS,3,16,19,acid_vas_cerebral
BUGRE,-,18,18,acid_vas_cerebral
BURITIS,-,41,41,acid_vas_cerebral
BURITIZEIRO,1,16,17,acid_vas_cerebral
CABO VERDE,1,23,24,acid_vas_cerebral
CACHOEIRA DA PRATA,-,32,32,acid_vas_cerebral
CACHOEIRA DE MINAS,1,34,35,acid_vas_cerebral
CACHOEIRA DOURADA,-,10,10,acid_vas_cerebral
CAETANOPOLIS,-,11,11,acid_vas_cerebral
CAETE,-,68,68,acid_vas_cerebral
CAIANA,-,4,4,acid_vas_cerebral
CAJURI,-,12,12,acid_vas_cerebral
CALDAS,-,65,65,acid_vas_cerebral
CAMACHO,-,9,9,acid_vas_cerebral
CAMANDUCAIA,1,99,100,acid_vas_cerebral
CAMBUI,2,52,54,acid_vas_cerebral
CAMBUQUIRA,-,7,7,acid_vas_cerebral
CAMPANHA,-,76,76,acid_vas_cerebral
CAMPINA VERDE,1,20,21,acid_vas_cerebral
CAMPO BELO,4,232,236,acid_vas_cerebral
CAMPO FLORIDO,-,50,50,acid_vas_cerebral
CAMPOS ALTOS,-,37,37,acid_vas_cerebral
CAMPOS GERAIS,-,11,11,acid_vas_cerebral
CANAA,-,12,12,acid_vas_cerebral
CANAPOLIS,-,41,41,acid_vas_cerebral
CANA VERDE,-,5,5,acid_vas_cerebral
CANDEIAS,2,74,76,acid_vas_cerebral
CANTAGALO,1,2,3,acid_vas_cerebral
CAPARAO,-,6,6,acid_vas_cerebral
CAPELA NOVA,-,11,11,acid_vas_cerebral
CAPELINHA,-,12,12,acid_vas_cerebral
CAPETINGA,-,15,15,acid_vas_cerebral
CAPIM BRANCO,-,13,13,acid_vas_cerebral
CAPINOPOLIS,1,58,59,acid_vas_cerebral
CAPITAO ANDRADE,-,3,3,acid_vas_cerebral
CAPITAO ENEAS,-,4,4,acid_vas_cerebral
CAPITOLIO,-,13,13,acid_vas_cerebral
CAPUTIRA,-,11,11,acid_vas_cerebral
CARAI,-,3,3,acid_vas_cerebral
CARANAIBA,-,4,4,acid_vas_cerebral
CARANDAI,1,16,17,acid_vas_cerebral
CARANGOLA,2,49,51,acid_vas_cerebral
CARATINGA,2,330,332,acid_vas_cerebral
CARBONITA,-,14,14,acid_vas_cerebral
CAREACU,1,11,12,acid_vas_cerebral
CARLOS CHAGAS,1,47,48,acid_vas_cerebral
CARMESIA,1,22,23,acid_vas_cerebral
CARMO DA CACHOEIRA,-,7,7,acid_vas_cerebral
CARMO DA MATA,-,2,2,acid_vas_cerebral
CARMO DE MINAS,-,23,23,acid_vas_cerebral
CARMO DO CAJURU,2,55,57,acid_vas_cerebral
CARMO DO PARANAIBA,2,110,112,acid_vas_cerebral
CARMOPOLIS DE MINAS,3,68,71,acid_vas_cerebral
CARNEIRINHO,-,45,45,acid_vas_cerebral
CARRANCAS,-,5,5,acid_vas_cerebral
CARVALHOS,-,8,8,acid_vas_cerebral
CASCALHO RICO,-,2,2,acid_vas_cerebral
CASSIA,2,81,83,acid_vas_cerebral
CONCEICAO DA BARRA DE MINAS,-,15,15,acid_vas_cerebral
CATAGUASES,4,377,381,acid_vas_cerebral
CATAS ALTAS,-,10,10,acid_vas_cerebral
CATAS ALTAS DA NORUEGA,-,5,5,acid_vas_cerebral
CATUJI,-,4,4,acid_vas_cerebral
CAXAMBU,1,13,14,acid_vas_cerebral
CEDRO DO ABAETE,-,4,4,acid_vas_cerebral
CENTRAL DE MINAS,-,11,11,acid_vas_cerebral
CENTRALINA,-,44,44,acid_vas_cerebral
CHACARA,-,7,7,acid_vas_cerebral
CHALE,-,12,12,acid_vas_cerebral
CHAPADA DO NORTE,-,1,1,acid_vas_cerebral
CIPOTANEA,-,11,11,acid_vas_cerebral
CLARAVAL,1,12,13,acid_vas_cerebral
CLAUDIO,-,70,70,acid_vas_cerebral
COIMBRA,-,22,22,acid_vas_cerebral
COLUNA,-,18,18,acid_vas_cerebral
COMENDADOR GOMES,-,11,11,acid_vas_cerebral
COMERCINHO,-,1,1,acid_vas_cerebral
CONCEICAO DA APARECIDA,2,31,33,acid_vas_cerebral
CONCEICAO DAS PEDRAS,-,2,2,acid_vas_cerebral
CONCEICAO DAS ALAGOAS,3,66,69,acid_vas_cerebral
CONCEICAO DO PARA,-,15,15,acid_vas_cerebral
CONCEICAO DOS OUROS,1,34,35,acid_vas_cerebral
CONEGO MARINHO,-,19,19,acid_vas_cerebral
CONFINS,-,9,9,acid_vas_cerebral
CONGONHAL,-,21,21,acid_vas_cerebral
CONQUISTA,1,36,37,acid_vas_cerebral
CONSELHEIRO LAFAIETE,7,337,344,acid_vas_cerebral
CONSELHEIRO PENA,-,61,61,acid_vas_cerebral
CONSOLACAO,-,30,30,acid_vas_cerebral
CONTAGEM,9,543,552,acid_vas_cerebral
COQUEIRAL,-,22,22,acid_vas_cerebral
CORDISBURGO,-,16,16,acid_vas_cerebral
CORDISLANDIA,-,10,10,acid_vas_cerebral
COROACI,-,6,6,acid_vas_cerebral
COROMANDEL,4,83,87,acid_vas_cerebral
CORONEL FABRICIANO,13,312,325,acid_vas_cerebral
CORONEL MURTA,-,6,6,acid_vas_cerebral
CORONEL PACHECO,-,7,7,acid_vas_cerebral
CORREGO DO BOM JESUS,-,6,6,acid_vas_cerebral
CORREGO FUNDO,-,69,69,acid_vas_cerebral
COUTO DE MAGALHAES DE MINAS,-,2,2,acid_vas_cerebral
CRISTAIS,-,19,19,acid_vas_cerebral
CRISTIANO OTONI,-,7,7,acid_vas_cerebral
CRISTINA,1,160,161,acid_vas_cerebral
CRUCILANDIA,-,3,3,acid_vas_cerebral
CRUZEIRO DA FORTALEZA,-,31,31,acid_vas_cerebral
CRUZILIA,1,33,34,acid_vas_cerebral
CURVELO,10,342,352,acid_vas_cerebral
DATAS,-,7,7,acid_vas_cerebral
DELFIM MOREIRA,-,47,47,acid_vas_cerebral
DELFINOPOLIS,-,4,4,acid_vas_cerebral
DELTA,-,31,31,acid_vas_cerebral
DESCOBERTO,-,3,3,acid_vas_cerebral
DESTERRO DE ENTRE RIOS,-,19,19,acid_vas_cerebral
DESTERRO DO MELO,-,5,5,acid_vas_cerebral
DIOGO DE VASCONCELOS,-,9,9,acid_vas_cerebral
DIONISIO,2,45,47,acid_vas_cerebral
DIVINO,-,15,15,acid_vas_cerebral
DIVINOLANDIA DE MINAS,-,5,5,acid_vas_cerebral
DIVINOPOLIS,8,375,383,acid_vas_cerebral
DIVISA ALEGRE,-,1,1,acid_vas_cerebral
DIVISA NOVA,-,13,13,acid_vas_cerebral
DIVISOPOLIS,1,4,5,acid_vas_cerebral
DOM CAVATI,-,14,14,acid_vas_cerebral
DOM JOAQUIM,-,2,2,acid_vas_cerebral
DOM SILVERIO,-,13,13,acid_vas_cerebral
DONA EUSEBIA,-,10,10,acid_vas_cerebral
DORES DE CAMPOS,2,60,62,acid_vas_cerebral
DORES DE GUANHAES,-,10,10,acid_vas_cerebral
DORES DO INDAIA,-,35,35,acid_vas_cerebral
DORES DO TURVO,-,3,3,acid_vas_cerebral
DOURADOQUARA,-,3,3,acid_vas_cerebral
DURANDE,-,6,6,acid_vas_cerebral
ELOI MENDES,-,2,2,acid_vas_cerebral
ENTRE FOLHAS,-,6,6,acid_vas_cerebral
ENTRE RIOS DE MINAS,1,19,20,acid_vas_cerebral
ERVALIA,-,11,11,acid_vas_cerebral
ESMERALDAS,4,52,56,acid_vas_cerebral
ESPERA FELIZ,2,70,72,acid_vas_cerebral
ESPINOSA,-,24,24,acid_vas_cerebral
ESPIRITO SANTO DO DOURADO,1,16,17,acid_vas_cerebral
ESTIVA,-,40,40,acid_vas_cerebral
ESTRELA DALVA,-,14,14,acid_vas_cerebral
ESTRELA DO INDAIA,-,21,21,acid_vas_cerebral
ESTRELA DO SUL,-,9,9,acid_vas_cerebral
EUGENOPOLIS,2,19,21,acid_vas_cerebral
EWBANK DA CAMARA,-,8,8,acid_vas_cerebral
EXTREMA,6,231,237,acid_vas_cerebral
FAMA,-,1,1,acid_vas_cerebral
FARIA LEMOS,-,1,1,acid_vas_cerebral
FELICIO DOS SANTOS,-,2,2,acid_vas_cerebral
SAO GONCALO DO RIO PRETO,-,4,4,acid_vas_cerebral
FELISBURGO,-,3,3,acid_vas_cerebral
FELIXLANDIA,-,2,2,acid_vas_cerebral
FERNANDES TOURINHO,-,8,8,acid_vas_cerebral
FERVEDOURO,-,15,15,acid_vas_cerebral
FORMIGA,7,268,275,acid_vas_cerebral
FORTALEZA DE MINAS,1,37,38,acid_vas_cerebral
FORTUNA DE MINAS,-,12,12,acid_vas_cerebral
FRANCISCO BADARO,-,14,14,acid_vas_cerebral
FRANCISCO DUMONT,-,2,2,acid_vas_cerebral
FRANCISCO SA,-,10,10,acid_vas_cerebral
FREI INOCENCIO,-,18,18,acid_vas_cerebral
FREI LAGONEGRO,-,1,1,acid_vas_cerebral
FRONTEIRA,-,7,7,acid_vas_cerebral
FRONTEIRA DOS VALES,-,8,8,acid_vas_cerebral
FRUTA DE LEITE,-,4,4,acid_vas_cerebral
FRUTAL,4,108,112,acid_vas_cerebral
FUNILANDIA,-,3,3,acid_vas_cerebral
GALILEIA,-,13,13,acid_vas_cerebral
GAMELEIRAS,-,3,3,acid_vas_cerebral
GOIANA,-,1,1,acid_vas_cerebral
GONCALVES,2,31,33,acid_vas_cerebral
GOUVEIA,-,9,9,acid_vas_cerebral
GOVERNADOR VALADARES,15,967,982,acid_vas_cerebral
GRAO MOGOL,-,5,5,acid_vas_cerebral
GRUPIARA,-,16,16,acid_vas_cerebral
GUANHAES,10,244,254,acid_vas_cerebral
GUAPE,-,94,94,acid_vas_cerebral
GUARACIAMA,1,10,11,acid_vas_cerebral
GUARANESIA,2,73,75,acid_vas_cerebral
GUARANI,-,24,24,acid_vas_cerebral
GUARARA,-,3,3,acid_vas_cerebral
GUARDA-MOR,-,14,14,acid_vas_cerebral
GUAXUPE,5,217,222,acid_vas_cerebral
GUIDOVAL,2,34,36,acid_vas_cerebral
GUIMARANIA,-,7,7,acid_vas_cerebral
GURINHATA,-,5,5,acid_vas_cerebral
HELIODORA,-,31,31,acid_vas_cerebral
IAPU,-,13,13,acid_vas_cerebral
IBERTIOGA,1,20,21,acid_vas_cerebral
IBIA,-,36,36,acid_vas_cerebral
IBIRACI,-,31,31,acid_vas_cerebral
IBIRITE,8,307,315,acid_vas_cerebral
IBITIURA DE MINAS,-,38,38,acid_vas_cerebral
IBITURUNA,-,2,2,acid_vas_cerebral
IGARAPE,5,91,96,acid_vas_cerebral
IGARATINGA,1,29,30,acid_vas_cerebral
IGUATAMA,-,13,13,acid_vas_cerebral
ILICINEA,1,39,40,acid_vas_cerebral
IMBE DE MINAS,-,5,5,acid_vas_cerebral
INCONFIDENTES,1,24,25,acid_vas_cerebral
INDAIABIRA,-,15,15,acid_vas_cerebral
INDIANOPOLIS,-,6,6,acid_vas_cerebral
INHAPIM,4,94,98,acid_vas_cerebral
INIMUTABA,-,13,13,acid_vas_cerebral
IPABA,-,31,31,acid_vas_cerebral
IPANEMA,-,41,41,acid_vas_cerebral
IPATINGA,155,578,733,acid_vas_cerebral
IPUIUNA,-,90,90,acid_vas_cerebral
ITABIRA,2,222,224,acid_vas_cerebral
ITABIRINHA,-,6,6,acid_vas_cerebral
ITABIRITO,-,6,6,acid_vas_cerebral
ITACARAMBI,1,18,19,acid_vas_cerebral
ITAGUARA,1,22,23,acid_vas_cerebral
ITAIPE,-,4,4,acid_vas_cerebral
ITAJUBA,14,806,820,acid_vas_cerebral
ITAMARANDIBA,1,30,31,acid_vas_cerebral
ITAMARATI DE MINAS,-,56,56,acid_vas_cerebral
ITAMBACURI,-,20,20,acid_vas_cerebral
ITAMBE DO MATO DENTRO,-,1,1,acid_vas_cerebral
ITAMOGI,-,57,57,acid_vas_cerebral
ITAMONTE,-,18,18,acid_vas_cerebral
ITANHANDU,-,94,94,acid_vas_cerebral
ITANHOMI,3,29,32,acid_vas_cerebral
ITAOBIM,-,20,20,acid_vas_cerebral
ITAPAGIPE,1,59,60,acid_vas_cerebral
ITAPECERICA,3,14,17,acid_vas_cerebral
ITAPEVA,-,27,27,acid_vas_cerebral
ITATIAIUCU,-,26,26,acid_vas_cerebral
ITAU DE MINAS,3,140,143,acid_vas_cerebral
ITAUNA,11,154,165,acid_vas_cerebral
ITUETA,1,5,6,acid_vas_cerebral
ITUIUTABA,2,208,210,acid_vas_cerebral
ITUMIRIM,-,2,2,acid_vas_cerebral
ITURAMA,1,112,113,acid_vas_cerebral
ITUTINGA,1,17,18,acid_vas_cerebral
JABOTICATUBAS,-,26,26,acid_vas_cerebral
JACINTO,-,6,6,acid_vas_cerebral
JACUI,-,129,129,acid_vas_cerebral
JACUTINGA,-,91,91,acid_vas_cerebral
JAGUARACU,-,5,5,acid_vas_cerebral
JAIBA,-,8,8,acid_vas_cerebral
JAMPRUCA,-,6,6,acid_vas_cerebral
JANAUBA,-,32,32,acid_vas_cerebral
JANUARIA,2,110,112,acid_vas_cerebral
JAPARAIBA,-,5,5,acid_vas_cerebral
JAPONVAR,-,1,1,acid_vas_cerebral
JENIPAPO DE MINAS,-,9,9,acid_vas_cerebral
JEQUERI,-,32,32,acid_vas_cerebral
JEQUITAI,-,4,4,acid_vas_cerebral
JEQUITINHONHA,-,2,2,acid_vas_cerebral
JESUANIA,-,1,1,acid_vas_cerebral
JOAIMA,1,20,21,acid_vas_cerebral
JOANESIA,-,10,10,acid_vas_cerebral
JOAO MONLEVADE,-,87,87,acid_vas_cerebral
JOAO PINHEIRO,4,51,55,acid_vas_cerebral
JORDANIA,-,1,1,acid_vas_cerebral
JOSE GONCALVES DE MINAS,-,6,6,acid_vas_cerebral
JOSE RAYDAN,-,11,11,acid_vas_cerebral
NOVA UNIAO,1,19,20,acid_vas_cerebral
JUATUBA,-,21,21,acid_vas_cerebral
JUIZ DE FORA,17,704,721,acid_vas_cerebral
JURUAIA,-,17,17,acid_vas_cerebral
JUVENILIA,-,2,2,acid_vas_cerebral
LAGAMAR,1,34,35,acid_vas_cerebral
LAGOA DA PRATA,2,59,61,acid_vas_cerebral
LAGOA DOURADA,-,1,1,acid_vas_cerebral
LAGOA FORMOSA,1,41,42,acid_vas_cerebral
LAGOA GRANDE,1,4,5,acid_vas_cerebral
LAGOA SANTA,-,21,21,acid_vas_cerebral
LAMBARI,4,124,128,acid_vas_cerebral
LARANJAL,-,7,7,acid_vas_cerebral
LASSANCE,-,4,4,acid_vas_cerebral
LAVRAS,3,73,76,acid_vas_cerebral
LEANDRO FERREIRA,3,10,13,acid_vas_cerebral
LEOPOLDINA,-,36,36,acid_vas_cerebral
LIMA DUARTE,-,31,31,acid_vas_cerebral
LIMEIRA DO OESTE,-,5,5,acid_vas_cerebral
LONTRA,-,1,1,acid_vas_cerebral
LUISBURGO,1,14,15,acid_vas_cerebral
LUZ,-,41,41,acid_vas_cerebral
MACHADO,-,191,191,acid_vas_cerebral
MADRE DE DEUS DE MINAS,-,15,15,acid_vas_cerebral
MANGA,-,13,13,acid_vas_cerebral
MANHUACU,2,42,44,acid_vas_cerebral
MANHUMIRIM,1,52,53,acid_vas_cerebral
MANTENA,-,48,48,acid_vas_cerebral
MARAVILHAS,-,8,8,acid_vas_cerebral
MAR DE ESPANHA,2,17,19,acid_vas_cerebral
MARIA DA FE,1,91,92,acid_vas_cerebral
MARIANA,-,84,84,acid_vas_cerebral
MARIPA DE MINAS,-,1,1,acid_vas_cerebral
MARLIERIA,-,14,14,acid_vas_cerebral
MARMELOPOLIS,2,34,36,acid_vas_cerebral
MARTINHO CAMPOS,2,51,53,acid_vas_cerebral
MATERLANDIA,-,5,5,acid_vas_cerebral
MATEUS LEME,2,124,126,acid_vas_cerebral
MATIAS BARBOSA,1,34,35,acid_vas_cerebral
MATIAS CARDOSO,-,8,8,acid_vas_cerebral
MATO VERDE,-,5,5,acid_vas_cerebral
MATOZINHOS,-,7,7,acid_vas_cerebral
MATUTINA,-,3,3,acid_vas_cerebral
MEDEIROS,-,2,2,acid_vas_cerebral
MEDINA,-,9,9,acid_vas_cerebral
MENDES PIMENTEL,-,5,5,acid_vas_cerebral
MERCES,2,20,22,acid_vas_cerebral
MESQUITA,-,4,4,acid_vas_cerebral
MINAS NOVAS,-,15,15,acid_vas_cerebral
MINDURI,-,15,15,acid_vas_cerebral
MIRABELA,-,9,9,acid_vas_cerebral
MIRADOURO,1,5,6,acid_vas_cerebral
MIRAI,-,25,25,acid_vas_cerebral
MIRAVANIA,-,1,1,acid_vas_cerebral
MOEDA,1,37,38,acid_vas_cerebral
MOEMA,1,8,9,acid_vas_cerebral
MONJOLOS,-,6,6,acid_vas_cerebral
MONTE ALEGRE DE MINAS,-,35,35,acid_vas_cerebral
MONTE AZUL,-,34,34,acid_vas_cerebral
MONTE BELO,-,37,37,acid_vas_cerebral
MONTE CARMELO,3,170,173,acid_vas_cerebral
MONTE SANTO DE MINAS,2,94,96,acid_vas_cerebral
MONTES CLAROS,8,486,494,acid_vas_cerebral
MONTE SIAO,7,117,124,acid_vas_cerebral
MONTEZUMA,-,1,1,acid_vas_cerebral
MORADA NOVA DE MINAS,-,45,45,acid_vas_cerebral
MORRO DO PILAR,-,1,1,acid_vas_cerebral
MUNHOZ,-,26,26,acid_vas_cerebral
MURIAE,2,89,91,acid_vas_cerebral
MUTUM,1,4,5,acid_vas_cerebral
MUZAMBINHO,-,29,29,acid_vas_cerebral
NACIP RAYDAN,1,10,11,acid_vas_cerebral
NANUQUE,4,29,33,acid_vas_cerebral
NAQUE,-,29,29,acid_vas_cerebral
NATERCIA,-,13,13,acid_vas_cerebral
NAZARENO,-,24,24,acid_vas_cerebral
NEPOMUCENO,-,70,70,acid_vas_cerebral
NINHEIRA,-,1,1,acid_vas_cerebral
NOVA BELEM,-,5,5,acid_vas_cerebral
NOVA ERA,-,8,8,acid_vas_cerebral
NOVA LIMA,5,210,215,acid_vas_cerebral
NOVA MODICA,-,3,3,acid_vas_cerebral
NOVA PORTEIRINHA,-,3,3,acid_vas_cerebral
NOVA RESENDE,1,36,37,acid_vas_cerebral
NOVA SERRANA,-,182,182,acid_vas_cerebral
NOVO CRUZEIRO,-,12,12,acid_vas_cerebral
NOVORIZONTE,-,8,8,acid_vas_cerebral
OLARIA,-,6,6,acid_vas_cerebral
OLIMPIO NORONHA,-,4,4,acid_vas_cerebral
OLIVEIRA,1,85,86,acid_vas_cerebral
OLIVEIRA FORTES,-,6,6,acid_vas_cerebral
ONCA DE PITANGUI,-,12,12,acid_vas_cerebral
ORATORIOS,-,3,3,acid_vas_cerebral
ORIZANIA,-,3,3,acid_vas_cerebral
OURO BRANCO,-,59,59,acid_vas_cerebral
OURO FINO,7,82,89,acid_vas_cerebral
OURO PRETO,4,273,277,acid_vas_cerebral
OURO VERDE DE MINAS,-,1,1,acid_vas_cerebral
PADRE PARAISO,-,4,4,acid_vas_cerebral
PAINEIRAS,-,8,8,acid_vas_cerebral
PAINS,1,16,17,acid_vas_cerebral
PAI PEDRO,-,4,4,acid_vas_cerebral
PAIVA,-,6,6,acid_vas_cerebral
PALMA,-,9,9,acid_vas_cerebral
PALMOPOLIS,-,8,8,acid_vas_cerebral
PAPAGAIOS,1,13,14,acid_vas_cerebral
PARACATU,2,62,64,acid_vas_cerebral
PARA DE MINAS,14,477,491,acid_vas_cerebral
PARAISOPOLIS,-,93,93,acid_vas_cerebral
PARAOPEBA,-,10,10,acid_vas_cerebral
PASSA-VINTE,-,4,4,acid_vas_cerebral
PASSOS,3,228,231,acid_vas_cerebral
PATOS DE MINAS,9,295,304,acid_vas_cerebral
PATROCINIO,2,91,93,acid_vas_cerebral
PAULA CANDIDO,-,44,44,acid_vas_cerebral
PECANHA,-,3,3,acid_vas_cerebral
PEDRA AZUL,-,2,2,acid_vas_cerebral
PEDRA DO ANTA,-,4,4,acid_vas_cerebral
PEDRA DOURADA,-,1,1,acid_vas_cerebral
PEDRALVA,-,62,62,acid_vas_cerebral
PEDRAS DE MARIA DA CRUZ,-,1,1,acid_vas_cerebral
PEDRINOPOLIS,-,3,3,acid_vas_cerebral
PEDRO LEOPOLDO,1,26,27,acid_vas_cerebral
PEQUI,-,11,11,acid_vas_cerebral
PERDIGAO,-,17,17,acid_vas_cerebral
PERDIZES,1,54,55,acid_vas_cerebral
PERDOES,-,31,31,acid_vas_cerebral
PERIQUITO,2,28,30,acid_vas_cerebral
PESCADOR,-,6,6,acid_vas_cerebral
PIAU,-,8,8,acid_vas_cerebral
PIEDADE DE CARATINGA,1,33,34,acid_vas_cerebral
PIEDADE DE PONTE NOVA,-,11,11,acid_vas_cerebral
PIEDADE DO RIO GRANDE,1,2,3,acid_vas_cerebral
PIEDADE DOS GERAIS,-,9,9,acid_vas_cerebral
PIMENTA,-,22,22,acid_vas_cerebral
PINGO-D'AGUA,-,4,4,acid_vas_cerebral
PIRACEMA,-,7,7,acid_vas_cerebral
PIRANGA,-,23,23,acid_vas_cerebral
PIRANGUCU,-,43,43,acid_vas_cerebral
PIRANGUINHO,-,86,86,acid_vas_cerebral
PIRAPETINGA,1,20,21,acid_vas_cerebral
PIRAPORA,-,15,15,acid_vas_cerebral
PIRAUBA,1,16,17,acid_vas_cerebral
PITANGUI,2,119,121,acid_vas_cerebral
PIUMHI,1,139,140,acid_vas_cerebral
PLANURA,1,27,28,acid_vas_cerebral
POCO FUNDO,1,84,85,acid_vas_cerebral
POCOS DE CALDAS,12,771,783,acid_vas_cerebral
POMPEU,-,42,42,acid_vas_cerebral
PONTE NOVA,6,143,149,acid_vas_cerebral
PORTEIRINHA,2,33,35,acid_vas_cerebral
PORTO FIRME,-,4,4,acid_vas_cerebral
POTE,1,22,23,acid_vas_cerebral
POUSO ALEGRE,13,476,489,acid_vas_cerebral
POUSO ALTO,1,17,18,acid_vas_cerebral
PRADOS,-,8,8,acid_vas_cerebral
PRATA,-,28,28,acid_vas_cerebral
PRATAPOLIS,-,22,22,acid_vas_cerebral
PRATINHA,-,8,8,acid_vas_cerebral
PRESIDENTE BERNARDES,-,4,4,acid_vas_cerebral
PRESIDENTE JUSCELINO,-,7,7,acid_vas_cerebral
PRESIDENTE KUBITSCHEK,-,4,4,acid_vas_cerebral
PRUDENTE DE MORAIS,-,11,11,acid_vas_cerebral
QUARTEL GERAL,-,9,9,acid_vas_cerebral
QUELUZITO,-,2,2,acid_vas_cerebral
RAPOSOS,2,25,27,acid_vas_cerebral
RAUL SOARES,1,15,16,acid_vas_cerebral
RECREIO,-,13,13,acid_vas_cerebral
RESENDE COSTA,-,31,31,acid_vas_cerebral
RESPLENDOR,2,29,31,acid_vas_cerebral
RESSAQUINHA,-,7,7,acid_vas_cerebral
RIACHINHO,1,10,11,acid_vas_cerebral
RIACHO DOS MACHADOS,-,2,2,acid_vas_cerebral
RIBEIRAO DAS NEVES,9,311,320,acid_vas_cerebral
RIO ACIMA,1,4,5,acid_vas_cerebral
RIO CASCA,1,17,18,acid_vas_cerebral
RIO DOCE,-,14,14,acid_vas_cerebral
RIO DO PRADO,-,1,1,acid_vas_cerebral
RIO ESPERA,-,2,2,acid_vas_cerebral
RIO NOVO,-,7,7,acid_vas_cerebral
