Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Minas Gerais
Diabetes Tipo 2 por Município e Acidente V.Cereb
Tabagismo: Sim
Sedentarismo: Sim
Sobrepeso: Sim
Período:Jan/2002-Abr/2013
"Município";"Sim";"Não";"Total"
"312640 FORTUNA DE MINAS";-;3;3
"312670 FRANCISCO SA";-;2;2
"312705 FRONTEIRA DOS VALES";-;1;1
"312710 FRUTAL";-;3;3
"312730 GALILEIA";-;1;1
"312740 GONCALVES";-;1;1
"312770 GOVERNADOR VALADARES";1;28;29
"312790 GRUPIARA";-;3;3
"312800 GUANHAES";1;9;10
"312810 GUAPE";-;1;1
"312860 GUARDA-MOR";-;1;1
"312870 GUAXUPE";1;10;11
"312880 GUIDOVAL";-;1;1
"312950 IBIA";-;1;1
"312970 IBIRACI";-;3;3
"312980 IBIRITE";-;13;13
"312990 IBITIURA DE MINAS";-;2;2
"313000 IBITURUNA";-;1;1
"313010 IGARAPE";-;2;2
"313020 IGARATINGA";-;3;3
"313030 IGUATAMA";-;1;1
"313050 ILICINEA";-;2;2
"313060 INCONFIDENTES";-;1;1
"313090 INHAPIM";-;2;2
"313110 INIMUTABA";-;1;1
"313115 IPABA";-;2;2
"313130 IPATINGA";6;15;21
"313150 IPUIUNA";-;3;3
"313170 ITABIRA";-;14;14
"313210 ITACARAMBI";-;1;1
"313220 ITAGUARA";-;2;2
"313240 ITAJUBA";1;48;49
"313250 ITAMARANDIBA";-;1;1
"313260 ITAMARATI DE MINAS";-;2;2
"313290 ITAMOGI";-;1;1
"313300 ITAMONTE";-;1;1
"313310 ITANHANDU";-;4;4
"313320 ITANHOMI";1;1;2
"313330 ITAOBIM";-;1;1
"313340 ITAPAGIPE";-;4;4
"313360 ITAPEVA";-;1;1
"313370 ITATIAIUCU";-;1;1
"313375 ITAU DE MINAS";-;12;12
"313380 ITAUNA";-;6;6
"313410 ITUETA";1;-;1
"313420 ITUIUTABA";-;6;6
"313430 ITUMIRIM";-;2;2
"313440 ITURAMA";-;7;7
"313450 ITUTINGA";-;1;1
"313480 JACUI";-;6;6
"313490 JACUTINGA";-;3;3
"313580 JEQUITINHONHA";-;1;1
"313620 JOAO MONLEVADE";-;4;4
"313630 JOAO PINHEIRO";-;2;2
"313670 JUIZ DE FORA";1;36;37
"313710 LAGAMAR";-;1;1
"313720 LAGOA DA PRATA";-;5;5
"313750 LAGOA FORMOSA";-;3;3
"313760 LAGOA SANTA";-;1;1
"313780 LAMBARI";-;6;6
"313820 LAVRAS";-;2;2
"313840 LEOPOLDINA";-;2;2
"313860 LIMA DUARTE";-;2;2
"313900 MACHADO";-;10;10
"313940 MANHUACU";-;2;2
"313950 MANHUMIRIM";-;2;2
"313960 MANTENA";-;1;1
"313990 MARIA DA FE";-;6;6
"314000 MARIANA";-;3;3
"314040 MARMELOPOLIS";1;-;1
"314050 MARTINHO CAMPOS";-;1;1
"314070 MATEUS LEME";-;12;12
"314080 MATIAS BARBOSA";-;2;2
"314120 MATUTINA";-;1;1
"314150 MENDES PIMENTEL";-;2;2
"314160 MERCES";-;1;1
"314170 MESQUITA";-;1;1
"314200 MIRABELA";-;1;1
"314230 MOEDA";-;5;5
"314280 MONTE ALEGRE DE MINAS";-;1;1
"314300 MONTE BELO";-;1;1
"314310 MONTE CARMELO";-;12;12
"314320 MONTE SANTO DE MINAS";-;4;4
"314330 MONTES CLAROS";-;15;15
"314340 MONTE SIAO";1;3;4
"314380 MUNHOZ";-;5;5
"314410 MUZAMBINHO";-;1;1
"314440 NATERCIA";-;1;1
"314450 NAZARENO";-;2;2
"314460 NEPOMUCENO";-;1;1
"314470 NOVA ERA";-;2;2
"314480 NOVA LIMA";-;3;3
"314510 NOVA RESENDE";-;1;1
"314520 NOVA SERRANA";-;2;2
"314540 OLARIA";-;1;1
"314590 OURO BRANCO";-;3;3
"314610 OURO PRETO";-;10;10
"314650 PAINS";-;2;2
"314690 PAPAGAIOS";-;1;1
"314700 PARACATU";-;2;2
"314710 PARA DE MINAS";-;32;32
"314730 PARAISOPOLIS";-;4;4
"314740 PARAOPEBA";-;2;2
"314790 PASSOS";-;8;8
"314800 PATOS DE MINAS";-;11;11
"314810 PATROCINIO";-;6;6
"314930 PEDRO LEOPOLDO";-;1;1
"314980 PERDIZES";-;2;2
"314990 PERDOES";-;1;1
"314995 PERIQUITO";-;1;1
"315015 PIEDADE DE CARATINGA";-;1;1
"315020 PIEDADE DE PONTE NOVA";-;1;1
"315050 PIMENTA";-;2;2
"315090 PIRANGUCU";-;1;1
"315100 PIRANGUINHO";-;4;4
"315130 PIRAUBA";-;1;1
"315140 PITANGUI";-;8;8
"315150 PIUMHI";-;2;2
"315160 PLANURA";-;1;1
"315170 POCO FUNDO";-;5;5
"315180 POCOS DE CALDAS";-;31;31
"315210 PONTE NOVA";-;6;6
"315220 PORTEIRINHA";-;2;2
"315250 POUSO ALEGRE";-;20;20
"315270 PRADOS";-;1;1
"315280 PRATA";-;1;1
"315320 PRESIDENTE JUSCELINO";-;1;1
"315400 RAUL SOARES";-;1;1
"315410 RECREIO";-;2;2
"315420 RESENDE COSTA";-;1;1
"315430 RESPLENDOR";-;2;2
"315440 RESSAQUINHA";-;1;1
"315445 RIACHINHO";1;-;1
"315460 RIBEIRAO DAS NEVES";1;6;7
"315500 RIO DOCE";-;1;1
"315540 RIO NOVO";-;1;1
"315560 RIO PARDO DE MINAS";-;1;1
"315570 RIO PIRACICABA";-;1;1
"315580 RIO POMBA";-;3;3
"315610 RITAPOLIS";-;1;1
"315670 SABARA";-;13;13
"315680 SABINOPOLIS";-;1;1
"315690 SACRAMENTO";-;4;4
"315720 SANTA BARBARA";-;1;1
"315725 SANTA BARBARA DO LESTE";-;1;1
"315740 SANTA CRUZ DO ESCALVADO";-;1;1
"315780 SANTA LUZIA";-;2;2
"315790 SANTA MARGARIDA";-;1;1
"315895 SANTANA DO PARAISO";-;3;3
"315930 SANTA RITA DE JACUTINGA";-;1;1
"315960 SANTA RITA DO SAPUCAI";1;9;10
"315980 SANTA VITORIA";-;4;4
"316000 SANTO ANTONIO DO AVENTUREIRO";-;1;1
"316040 SANTO ANTONIO DO MONTE";-;2;2
"316070 SANTOS DUMONT";-;2;2
"316095 SAO DOMINGOS DAS DORES";-;4;4
"316100 SAO DOMINGOS DO PRATA";-;3;3
"316190 SAO GONCALO DO RIO ABAIXO";1;-;1
"316200 SAO GONCALO DO SAPUCAI";-;3;3
"316210 SAO GOTARDO";-;4;4
"316220 SAO JOAO BATISTA DO GLORIA";-;2;2
"316250 SAO JOAO DEL REI";-;3;3
"316260 SAO JOAO DO ORIENTE";-;1;1
"316270 SAO JOAO DO PARAISO";-;1;1
"316290 SAO JOAO NEPOMUCENO";1;5;6
"316292 SAO JOAQUIM DE BICAS";-;1;1
"316294 SAO JOSE DA BARRA";-;1;1
"316310 SAO JOSE DA VARGINHA";-;1;1
"316370 SAO LOURENCO";-;5;5
"316400 SAO PEDRO DOS FERROS";-;2;2
"316460 SAO SEBASTIAO DO OESTE";-;2;2
"316470 SAO SEBASTIAO DO PARAISO";2;30;32
"316500 SAO TIAGO";-;3;3
"316510 SAO TOMAS DE AQUINO";-;2;2
"316530 SAO VICENTE DE MINAS";-;1;1
"316540 SAPUCAI-MIRIM";1;1;2
"316553 SARZEDO";-;2;2
"316557 SENADOR AMARAL";-;1;1
"316580 SENADOR JOSE BENTO";-;1;1
"316620 SENHORA DOS REMEDIOS";-;1;1
"316690 SERRANIA";-;3;3
"316740 SILVIANOPOLIS";-;4;4
"316780 SOLEDADE DE MINAS";-;2;2
"316820 TAPIRAI";-;1;1
"316860 TEOFILO OTONI";-;3;3
"316890 TIROS";-;1;1
"316910 TOLEDO";-;3;3
"316940 TRES PONTAS";1;19;20
"316970 TURMALINA";2;1;3
"316990 UBA";-;3;3
"317010 UBERABA";3;76;79
"317020 UBERLANDIA";-;45;45
"317040 UNAI";-;14;14
"317057 VARGEM ALEGRE";-;1;1
"317070 VARGINHA";-;14;14
"317115 VERMELHO NOVO";-;2;2
"317130 VICOSA";-;6;6
"317220 WENCESLAU BRAZ";-;1;1
"Total";43;1443;1486
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
